SArank
37
36
56
2
35
21
39
47
26
11
54
4
51
63
20
6
43
67
50
0
9
30
13
19
61
64
46
15
29
38
60
45
17
31
28
40
55
3
33
22
41
49
24
10
52
5
58
59
18
7
42
66
53
1
8
27
12
23
57
62
48
14
32
25
65
44
16
34
