Row,L_bankssts_grayavg,L_caudalanteriorcingulate_grayavg,L_caudalmiddlefrontal_grayavg,L_cuneus_grayavg,L_entoRinal_grayavg,L_frontalpole_grayavg,L_fusiform_grayavg,L_inferiorparietal_grayavg,L_inferiortemporal_grayavg,L_insula_grayavg,L_isthmuscingulate_grayavg,L_lateraloccipital_grayavg,L_lateralorbitofrontal_grayavg,L_lingual_grayavg,L_medialorbitofrontal_grayavg,L_middletemporal_grayavg,L_paracentral_grayavg,L_parahippocampal_grayavg,L_parsopercularis_grayavg,L_parsorbitalis_grayavg,L_parstriangularis_grayavg,L_pericalcarine_grayavg,L_postcentral_grayavg,L_posteriorcingulate_grayavg,L_precentral_grayavg,L_precuneus_grayavg,L_rostralanteriorcingulate_grayavg,L_rostralmiddlefrontal_grayavg,L_superiorfrontal_grayavg,L_superiorparietal_grayavg,L_superiortemporal_grayavg,L_supramarginal_grayavg,L_temporalpole_grayavg,L_transversetemporal_grayavg,R_bankssts_grayavg,R_caudalanteriorcingulate_grayavg,R_caudalmiddlefrontal_grayavg,R_cuneus_grayavg,R_entoRinal_grayavg,R_frontalpole_grayavg,R_fusiform_grayavg,R_inferiorparietal_grayavg,R_inferiortemporal_grayavg,R_insula_grayavg,R_isthmuscingulate_grayavg,R_lateraloccipital_grayavg,R_lateralorbitofrontal_grayavg,R_lingual_grayavg,R_medialorbitofrontal_grayavg,R_middletemporal_grayavg,R_paracentral_grayavg,R_parahippocampal_grayavg,R_parsopercularis_grayavg,R_parsorbitalis_grayavg,R_parstriangularis_grayavg,R_pericalcarine_grayavg,R_postcentral_grayavg,R_posteriorcingulate_grayavg,R_precentral_grayavg,R_precuneus_grayavg,R_rostralanteriorcingulate_grayavg,R_rostralmiddlefrontal_grayavg,R_superiorfrontal_grayavg,R_superiorparietal_grayavg,R_superiortemporal_grayavg,R_supramarginal_grayavg,R_temporalpole_grayavg,R_transversetemporal_grayavg
L_bankssts_grayavg,NaN,-0.301456441687216,-0.237595988315231,-0.00409037100989761,-0.122957833748985,0.0144906597787266,-0.133205385080216,-0.159923915062514,-0.16615248879289,-0.0118203828412174,-0.0614476768150854,-0.0864539305946988,-0.132080333362199,0.0692666273962131,-0.108527447880598,-0.150728146701863,-0.0873702019916433,-0.0871178063207423,-0.172894326907705,-0.134421362546551,-0.243968299519857,0.128310179977787,-0.000276689429769746,-0.0274740710879822,-0.194197622027641,-0.166060136448044,-0.210727693688566,-0.167088062411086,-0.157103267973205,-0.0698340187232482,-0.33274499762853,-0.269572008588526,-0.0921376245161266,-0.159849139643292,-0.0412400007108748,-0.22198274385762,-0.24776661873331,-0.0111010434017396,-0.162337211724726,-0.0834906814544412,-0.208763636334188,-0.160315159407444,-0.13988578638256,0.0382846545305256,-0.111294226017822,-0.143262050427367,-0.0661628385141413,-0.038647596971834,-0.150503361794662,-0.198344748781485,-0.106954377539411,-0.099410221409936,0.000834720291854276,-0.107729852170766,-0.22328724198356,0.137122484438063,-0.0385769037362317,-0.165930647998941,-0.241139960162059,-0.151083902364384,-0.110758558855025,-0.166758593555689,-0.220128361502459,-0.0131243791705203,-0.211848519850399,-0.250220805229651,-0.11882849367492,-0.054166918468283
L_caudalanteriorcingulate_grayavg,-0.301456441687216,NaN,-0.242100343571979,-0.0780931116805808,-0.175995684933729,0.0839505679789605,-0.278602076095111,-0.181257765304507,-0.308350370376736,-0.112895583971293,-0.0710966218126773,-0.158001972208395,-0.211794117759428,-0.126777034963192,-0.162882378905592,-0.253560313888727,-0.172056793130464,-0.317949921736486,-0.178711677743907,-0.184104686246742,-0.230411110904185,0.0714739832489801,-0.0494222284725312,0.117581197705039,-0.302627122349898,-0.331834667708833,-0.207199105572003,-0.242373070844761,-0.237213577777647,-0.0871769492869122,-0.373416713587138,-0.32287147998894,-0.062097460303911,-0.234454773584925,-0.280284582148574,-0.113273489604489,-0.207368112955618,-0.0785621603197172,-0.277284271879189,-0.103677104902418,-0.313576198068769,-0.192337145164683,-0.213255200003685,-0.0370986667876861,-0.164048263133891,-0.157970322780938,-0.330161103961072,-0.161057213408877,-0.294608413335295,-0.181588639360359,-0.0208651589862519,-0.203574766643504,-0.177354426810815,-0.125578306709892,-0.283737630121952,0.11701972708435,-0.117089791685882,-0.125397272955349,-0.315864372338667,-0.184474111244573,0.0177684057821244,-0.238995438624368,-0.228355479233462,0.0194794163517417,-0.251553147749731,-0.173830613584068,-0.118856529947877,-0.105680510816665
L_caudalmiddlefrontal_grayavg,-0.237595988315231,-0.242100343571979,NaN,0.084547173384639,-0.04601461433983,0.0535168170606058,-0.217110205072199,-0.103936248205117,-0.220031744730995,-0.127252503254051,0.0656199746419809,0.0134271183791685,0.0197395584736162,0.146023471666157,-0.0699942156977647,-0.21863587715522,0.113090033610585,-0.0280712579006999,-0.0679600240911975,-0.0619209028374246,-0.235392760979647,0.318859442746298,0.206224130240657,0.048140583138206,0.117029436670203,0.0726560946855502,-0.218384110015252,0.0121637895405059,0.07581514954953,0.180321714864026,-0.184052248830875,-0.0484144951589063,-0.0473806982511913,-0.0832776049905127,-0.112019254210232,-0.255008181510729,-0.20988115410456,0.091634012732791,-0.141555681087195,-0.0717169964689651,-0.235041094473676,0.00885371972923179,-0.16564906878094,-0.114514634994871,-0.0492180009819815,-0.0713223733696706,-0.00801768420725993,0.0489196340863014,-0.0517571573739636,-0.297350727916262,0.0739669546034704,0.0440724550581848,-0.0149073794892025,0.0651002889753824,-0.112322676988819,0.278578746346966,0.211180441328234,-0.144096698409067,0.0927130581297737,-0.00539070105742483,-0.225427493688646,0.0550579773146738,-0.0445650295966283,0.153923307215841,-0.118032782519878,-0.0825978041727555,-0.0968941387471871,-0.0392795960656064
L_cuneus_grayavg,-0.00409037100989761,-0.0780931116805808,0.084547173384639,NaN,0.0475199897371273,-0.0596156620514008,-0.138321594075173,0.110097864833919,-0.0665000558777563,-0.129419473893123,0.0229927447175139,-0.217851082588218,0.0193781239993862,-0.0617707307078886,-0.0877900222700979,-0.0544571596188349,-0.0459531613122069,-0.0380708572415303,0.159450394503097,0.0898091656993746,0.105617130483006,0.0372500774201664,0.000225200255787786,-0.0166835967792827,0.138369988080135,0.221113288684062,-0.0608141915646785,0.0482198176664511,0.10677981451422,0.0184842003812684,0.0363476840865516,0.146427840229749,0.0267869166712254,0.0194959155907338,-0.000554370701978577,-0.0492842471044986,0.0862037577933775,-0.276211722337451,0.0332659098827343,-0.134539202723639,-0.0986968424432877,0.0530764271802773,-0.0371258557776455,-0.00752087800222447,-0.112294863430309,-0.196885918132117,-0.0462181411314674,-0.0800603401276669,0.0168151535330015,0.041670194030517,0.000118415698178574,-0.0386437266472948,0.158164197278485,0.0697187624295981,0.121343911115383,0.0423357866620838,0.0923481158201098,-0.066988784570178,0.135974492061528,0.140589095976663,-0.0498296675564562,0.0603619431174792,0.135393348979619,0.0417686275451113,0.0127880460725675,0.163144521255854,0.0472265646237716,-0.0781082693386281
L_entoRinal_grayavg,-0.122957833748985,-0.175995684933729,-0.04601461433983,0.0475199897371273,NaN,0.0750081106154699,0.0206576759331432,0.0389018722006844,-0.0224828858772674,-0.114254951390217,-0.0735446606020682,0.0665554072623527,0.0551214826282399,0.0398710328015761,0.072657533848794,0.0194903590254961,0.00111271501666975,-0.0521588659777357,-0.0299511177844782,-0.0180027804575321,0.011727057644469,0.0772825960388744,-0.00370917448952126,-0.0648714274587579,-0.100835378043985,-0.0386996113851431,-0.0803363001616736,-0.0155265019577505,-0.112543746121812,0.0967439190288559,0.0293053041765259,-0.00918767083049351,0.00843297761112986,-0.0789767171780823,-0.084794969882847,-0.185010228500497,-0.084835415235729,0.172573695736443,-0.106704003999402,0.0632772825484357,0.0624779218439569,0.0151264951049267,0.0657327813079446,-0.12570923038319,-0.0683561857429574,0.0507061856698597,0.026493647379885,0.0280390391385047,0.0391032926484597,-0.018313195786724,0.0588682790023385,-0.0443445272776037,-0.0252859516148454,0.0431275803159102,0.0512998599736752,0.0591881109685168,0.00035786255680885,-0.14172886271762,-0.0215994358135653,0.0165064140361121,-0.173062848742394,0.00800594533268779,-0.0307744474469572,0.0559887959523776,-0.0439269827877045,0.03125836012279,0.0346381898868383,-0.0113400339842638
L_frontalpole_grayavg,0.0144906597787266,0.0839505679789605,0.0535168170606058,-0.0596156620514008,0.0750081106154699,NaN,0.108403825947449,0.0643177053242032,-0.0592930993531062,-0.0131020699992752,0.178379434700932,0.077710826521854,0.113477909402887,0.00132546384576146,0.0801581608522372,0.0268218975841761,0.146372974443735,0.0460813928850657,0.0272486939789115,0.0144234447514649,0.136950831321894,0.162505891371004,-0.0647546512313052,0.107637145597863,0.11718750422358,0.0996665133417225,0.152160097179669,0.140264111057649,0.105884812511456,0.0813936436665771,0.217133386206044,0.125059274023558,0.0683387963983583,-0.0210087874768623,0.0145608999988832,0.0412720779681919,-0.0209533760229071,0.0279563180862008,-0.0586463558411705,-0.10153277059229,0.108615157759418,0.105548328908461,0.0830573220432744,0.0129496128022951,0.119658364588902,-0.00168750009712496,0.094170084955466,0.0559517081273607,0.211061956280666,0.00743850391967162,0.24149704826018,0.129360818110138,0.0477102448249581,0.0203996441173483,0.135657217655788,0.153890841518735,-0.0389421774648387,0.0484088418474651,0.0918241730618144,0.198302726660563,-0.0199523034755844,0.154831621724307,0.125071289214153,0.00613929388105884,0.0610369954015635,0.0437398482042497,0.00688927923771515,-0.0872406592605735
L_fusiform_grayavg,-0.133205385080216,-0.278602076095111,-0.217110205072199,-0.138321594075173,0.0206576759331432,0.108403825947449,NaN,-0.123181710153641,-0.0530509275239301,-0.0913630969792822,-0.0369445603298989,-0.0637132905048385,-0.0649757506301021,-0.071704845038319,-0.111302290653075,-0.124765546180648,-0.176576263737574,-0.171120103994139,-0.187939215430719,-0.0589234464202555,-0.241424781679984,0.0562374686808262,-0.101649706194942,-0.0228741480011306,-0.222014918304859,-0.30241500187016,-0.117559637162868,-0.173042363093044,-0.156886428822105,-0.0697234391737328,-0.33758402426836,-0.272883795485141,-0.0648991990279904,-0.286784952579223,-0.224518134552624,-0.186280743329444,-0.203431671440041,-0.022787920681464,-0.119773230392813,-0.0465149964770828,-0.10001999289372,-0.149503166866107,-0.0732334217161041,-0.100771137202337,-0.0642293395253298,-0.111648753991994,0.0741377032319582,-0.165635071419711,-0.0898885610254228,-0.0543800168047272,-0.052861334293597,0.0202988885254155,-0.102494071733155,-0.00619268453642717,-0.183772549860407,0.0496863092991784,-0.118705263322818,-0.135454245871204,-0.22407395782691,-0.240397925299385,-0.08407126029618,-0.203702094930233,-0.0336584968600711,-0.0434703638034785,-0.188555472040285,-0.202146509745058,-0.1125625162138,-0.141685782061983
L_inferiorparietal_grayavg,-0.159923915062514,-0.181257765304507,-0.103936248205117,0.110097864833919,0.0389018722006844,0.0643177053242032,-0.123181710153641,NaN,-0.186072140676002,-0.0631744928945504,0.152167582210151,0.0576529961547638,0.1148790880642,0.209756414045409,0.0318390020347102,-0.258066139033589,-0.00990392942114237,0.00732762737421279,-0.0061560716317582,-0.0661573990001434,-0.208334506283787,0.266294996540973,0.117167029540437,0.102574337576902,-0.079104229152862,-0.137191828068525,-0.0988217970542186,0.0746585515540192,0.0624734472866149,-0.0611886309116694,-0.149222383751993,-0.120439736305449,-0.0186287917107793,-0.156515774490428,-0.13382761139945,-0.0864202875208151,-0.222383439778323,0.151300813750418,-0.0818836755821058,-0.127805019110474,-0.113137094644051,-0.110186784468157,-0.0453545977293389,-0.00815658532006348,0.0253243227185558,-0.0475549639260324,0.0812807814894664,0.118520698429012,0.126908496561512,-0.169016473662707,-0.0709587943706042,0.0475402090783053,0.000169306755650202,0.109228241117548,-0.0624269238266997,0.300060773034592,0.127063131205964,-0.0761622466551568,-0.119333264918186,-0.0684856946609468,-0.127270274896614,0.0546648641774845,0.0306142549864166,0.0641519334253243,-0.112818317919772,-0.134298960483934,-0.0381514250426558,-0.0644980255949559
L_inferiortemporal_grayavg,-0.16615248879289,-0.308350370376736,-0.220031744730995,-0.0665000558777563,-0.0224828858772674,-0.0592930993531062,-0.0530509275239301,-0.186072140676002,NaN,-0.212526631567661,-0.0545282541768886,-0.034265201132631,-0.106540959603995,0.0453531126183592,0.0028553495002788,-0.218423490208232,-0.160949313559756,-0.0199961530033775,-0.166926145350256,-0.163920867895326,-0.31768049717353,0.120280538439439,-0.0840410801926432,-0.140667530651537,-0.321855339866338,-0.212721369056271,-0.207315218853463,-0.137097236181401,-0.33643900305222,-0.0379171335460179,-0.30215028834673,-0.331340458469497,-0.137604014104615,-0.220021307123567,-0.231782581206917,-0.305885080200093,-0.30157162495874,0.0715972220102813,-0.177178348300022,-0.208347632435032,-0.0271593213372209,-0.172292726308098,-0.0573687436311545,-0.147635724995882,-0.077832314837514,-0.0296474996160084,0.0098357248285264,-0.0747289257667682,-0.12473673567767,-0.22552522974015,-0.0813884776695947,0.148748073984293,-0.169149282766973,-0.10456377641725,-0.153436369133945,0.135500141642857,-0.0448635395316347,-0.22111520676248,-0.207700439711518,-0.15120171526451,-0.221035961860006,-0.182122319005283,-0.250218437381446,0.00322135811006276,-0.322217541590453,-0.242132903578164,-0.18743222041037,-0.192268422411459
L_insula_grayavg,-0.0118203828412174,-0.112895583971293,-0.127252503254051,-0.129419473893123,-0.114254951390217,-0.0131020699992752,-0.0913630969792822,-0.0631744928945504,-0.212526631567661,NaN,-0.309594533779056,-0.187311207625796,-0.19493769203836,-0.120589882350738,-0.191135815228975,-0.132586601751941,-0.0638154974573365,-0.193413698079126,-0.154548883452257,-0.161919509564687,-0.23281731497888,0.00997661874748202,-0.150463552916745,-0.128538495329573,-0.164961285386388,-0.0883048954430637,-0.199162641204714,-0.0825028480266987,-0.107379656038198,-0.0196367448587661,-0.224345827474233,-0.192404015610409,-0.159782134692994,-0.356896396329824,0.0353610128807867,-0.314445630140807,-0.0927799096637454,-0.124669754708482,-0.206425898872171,-0.102959504859304,-0.114892300613778,-0.0332501204312191,-0.164689310261092,-0.0956693162859629,-0.337678992258998,-0.160645973524994,-0.189378088441328,-0.225564119108254,-0.298314847478145,-0.149602865042034,-0.0176270585079337,-0.0807436444190655,-0.226978914758561,-0.127586941325607,-0.229125647574287,-0.0504506024045959,-0.192766893465644,-0.196680223842947,-0.0886691599403685,-0.179269089589542,-0.124507872059958,-0.0554521985189171,-0.167791741209957,-0.00598830265696586,-0.218847518727024,-0.18643177320966,-0.124801171147723,-0.273472138114718
